1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,35.26%,,,27.08%,,,,,,,89.82%,,79.47%,,55.81%,,29.41%,27.23%,,,,,73.55%,,,9.60%,,,,,14.72%,
,,,,,,27.12%,,,,,,,97.70%,,79.49%,,55.87%,,32.41%,27.25%,,,,,73.59%,,,9.62%,,,,,14.74%,
,,,,,,27.54%,,,,,,,,,80.69%,,55.90%,,32.43%,27.28%,,,,,73.62%,,,10.17%,,,,,14.76%,
,,,,,,27.57%,,,,,,,,,80.75%,,55.92%,,32.46%,27.30%,,,,,73.66%,,,10.23%,,,,,14.83%,
,,,,,,27.59%,,,,,,,,,,,55.96%,,32.53%,27.31%,,,,,73.68%,,,10.26%,,,,,15.02%,
,,,,,,27.63%,,,,,,,,,,,55.99%,,32.56%,27.33%,,,,,73.73%,,,10.46%,,,,,15.08%,
,,,,,,27.76%,,,,,,,,,,,56.03%,,32.57%,27.37%,,,,,73.76%,,,10.48%,,,,,25.26%,
,,,,,,27.77%,,,,,,,,,,,,,32.80%,27.40%,,,,,73.78%,,,11.59%,,,,,25.31%,
,,,,,,27.79%,,,,,,,,,,,,,32.81%,27.43%,,,,,73.80%,,,11.61%,,,,,25.34%,
,,,,,,27.81%,,,,,,,,,,,,,35.75%,27.51%,,,,,73.85%,,,11.65%,,,,,25.36%,
,,,,,,27.83%,,,,,,,,,,,,,35.81%,27.65%,,,,,73.89%,,,11.82%,,,,,25.52%,
,,,,,,27.85%,,,,,,,,,,,,,35.83%,27.70%,,,,,73.91%,,,11.83%,,,,,25.61%,
,,,,,,27.91%,,,,,,,,,,,,,35.95%,27.72%,,,,,73.93%,,,11.86%,,,,,26.02%,
,,,,,,28.03%,,,,,,,,,,,,,36.03%,27.96%,,,,,73.95%,,,11.88%,,,,,26.09%,
,,,,,,28.09%,,,,,,,,,,,,,36.84%,28.03%,,,,,74.05%,,,11.95%,,,,,26.53%,
,,,,,,28.14%,,,,,,,,,,,,,40.43%,28.32%,,,,,,,,11.99%,,,,,26.59%,
,,,,,,28.19%,,,,,,,,,,,,,41.24%,35.42%,,,,,,,,12.02%,,,,,26.77%,
,,,,,,28.29%,,,,,,,,,,,,,41.28%,35.44%,,,,,,,,12.06%,,,,,26.99%,
,,,,,,28.32%,,,,,,,,,,,,,43.97%,35.49%,,,,,,,,12.09%,,,,,27.40%,
,,,,,,,,,,,,,,,,,,,43.99%,35.50%,,,,,,,,15.86%,,,,,27.42%,
,,,,,,,,,,,,,,,,,,,44.05%,36.18%,,,,,,,,15.88%,,,,,27.48%,
,,,,,,,,,,,,,,,,,,,44.11%,36.22%,,,,,,,,19.58%,,,,,27.52%,
,,,,,,,,,,,,,,,,,,,45.04%,36.24%,,,,,,,,20.86%,,,,,27.53%,
,,,,,,,,,,,,,,,,,,,45.06%,36.26%,,,,,,,,20.96%,,,,,29.51%,
,,,,,,,,,,,,,,,,,,,45.09%,36.33%,,,,,,,,20.99%,,,,,31.56%,
,,,,,,,,,,,,,,,,,,,45.11%,36.70%,,,,,,,,21.03%,,,,,31.75%,
,,,,,,,,,,,,,,,,,,,45.13%,36.81%,,,,,,,,21.38%,,,,,31.94%,
,,,,,,,,,,,,,,,,,,,45.15%,36.83%,,,,,,,,21.54%,,,,,32.36%,
,,,,,,,,,,,,,,,,,,,54.06%,36.92%,,,,,,,,21.55%,,,,,32.37%,
,,,,,,,,,,,,,,,,,,,54.08%,36.99%,,,,,,,,21.57%,,,,,32.39%,
,,,,,,,,,,,,,,,,,,,59.03%,37.04%,,,,,,,,26.67%,,,,,35.35%,
,,,,,,,,,,,,,,,,,,,59.06%,37.09%,,,,,,,,26.71%,,,,,37.64%,
,,,,,,,,,,,,,,,,,,,59.08%,37.18%,,,,,,,,26.74%,,,,,40.45%,
,,,,,,,,,,,,,,,,,,,59.12%,37.22%,,,,,,,,27.08%,,,,,41.49%,
,,,,,,,,,,,,,,,,,,,59.18%,37.25%,,,,,,,,27.24%,,,,,41.60%,
,,,,,,,,,,,,,,,,,,,72.61%,37.26%,,,,,,,,33.05%,,,,,41.93%,
,,,,,,,,,,,,,,,,,,,72.64%,37.31%,,,,,,,,33.07%,,,,,42.02%,
,,,,,,,,,,,,,,,,,,,72.65%,37.36%,,,,,,,,33.10%,,,,,56.02%,
,,,,,,,,,,,,,,,,,,,72.66%,37.38%,,,,,,,,33.13%,,,,,56.32%,
,,,,,,,,,,,,,,,,,,,83.17%,37.49%,,,,,,,,33.17%,,,,,56.47%,
