Distribution,Film NO.,,
29.09%,20 ,,
29.13%,20 ,,
29.19%,20 ,,
29.29%,20 ,,
29.31%,20 ,,
29.37%,20 ,,
29.41%,20 ,,
32.41%,20 ,,
32.43%,20 ,,
32.46%,20 ,,
32.53%,20 ,,
32.56%,20 ,,
32.57%,20 ,,
32.80%,20 ,,
32.81%,20 ,,
35.75%,20 ,,
35.81%,20 ,,
35.83%,20 ,,
35.95%,20 ,,
36.03%,20 ,,
36.84%,20 ,,
40.43%,20 ,,
41.24%,20 ,,
41.28%,20 ,,
43.97%,20 ,,
43.99%,20 ,,
44.05%,20 ,,
44.11%,20 ,,
45.04%,20 ,,
45.06%,20 ,,
45.09%,20 ,,
45.11%,20 ,,
45.13%,20 ,,
45.15%,20 ,,
54.06%,20 ,,
54.08%,20 ,,
59.03%,20 ,,
59.06%,20 ,,
59.08%,20 ,,
59.12%,20 ,,
59.18%,20 ,,
72.61%,20 ,,
72.64%,20 ,,
72.65%,20 ,,
72.66%,20 ,,
83.17%,20 ,,
83.21%,20 ,,
83.23%,20 ,,
83.36%,20 ,,
83.40%,20 ,,
83.43%,20 ,,
83.44%,20 ,,
83.47%,20 ,,
83.48%,20 ,,
83.55%,20 ,,
83.57%,20 ,,
83.97%,20 ,,
84.06%,20 ,,
84.15%,20 ,,
84.16%,20 ,,
84.19%,20 ,,
84.22%,20 ,,
84.25%,20 ,,
84.29%,20 ,,
84.31%,20 ,,
84.36%,20 ,,
84.42%,20 ,,
84.48%,20 ,,
85.88%,20 ,,
6.21%,21 ,,Star Wars 8 - The Last Jedi (2017)
6.48%,21 ,,
25.60%,21 ,,
25.66%,21 ,,
25.69%,21 ,,
25.73%,21 ,,
25.75%,21 ,,
25.80%,21 ,,
25.81%,21 ,,
25.84%,21 ,,
25.87%,21 ,,
26.00%,21 ,,
26.04%,21 ,,
26.08%,21 ,,
26.12%,21 ,,
26.14%,21 ,,
26.16%,21 ,,
26.17%,21 ,,
26.19%,21 ,,
26.21%,21 ,,
26.23%,21 ,,
26.25%,21 ,,
26.30%,21 ,,
26.38%,21 ,,
26.43%,21 ,,
26.45%,21 ,,
26.48%,21 ,,
26.73%,21 ,,
26.78%,21 ,,
26.79%,21 ,,
26.81%,21 ,,
26.97%,21 ,,
27.02%,21 ,,
27.05%,21 ,,
27.13%,21 ,,
27.20%,21 ,,
27.23%,21 ,,
27.25%,21 ,,
27.28%,21 ,,
27.30%,21 ,,
27.31%,21 ,,
27.33%,21 ,,
27.37%,21 ,,
27.40%,21 ,,
27.43%,21 ,,
27.51%,21 ,,
27.65%,21 ,,
27.70%,21 ,,
27.72%,21 ,,
27.96%,21 ,,
28.03%,21 ,,
28.32%,21 ,,
35.42%,21 ,,
35.44%,21 ,,
35.49%,21 ,,
35.50%,21 ,,
36.18%,21 ,,
36.22%,21 ,,
36.24%,21 ,,
36.26%,21 ,,
36.33%,21 ,,
36.70%,21 ,,
36.81%,21 ,,
36.83%,21 ,,
36.92%,21 ,,
36.99%,21 ,,
37.04%,21 ,,
37.09%,21 ,,
37.18%,21 ,,
37.22%,21 ,,
37.25%,21 ,,
37.26%,21 ,,
37.31%,21 ,,
37.36%,21 ,,
37.38%,21 ,,
37.49%,21 ,,
37.61%,21 ,,
41.63%,21 ,,
41.67%,21 ,,
41.71%,21 ,,
41.79%,21 ,,
41.85%,21 ,,
41.90%,21 ,,
42.42%,21 ,,
42.67%,21 ,,
43.61%,21 ,,
43.71%,21 ,,
44.73%,21 ,,
45.61%,21 ,,
45.82%,21 ,,
45.88%,21 ,,
55.49%,21 ,,
55.51%,21 ,,
55.68%,21 ,,
55.97%,21 ,,
61.47%,21 ,,
61.51%,21 ,,
61.96%,21 ,,
66.46%,21 ,,
66.77%,21 ,,
66.87%,21 ,,
73.91%,21 ,,
73.92%,21 ,,
74.42%,21 ,,
74.89%,21 ,,
75.36%,21 ,,
77.11%,21 ,,
77.41%,21 ,,
77.43%,21 ,,
77.71%,21 ,,
78.64%,21 ,,
78.65%,21 ,,
79.87%,21 ,,
80.99%,21 ,,
81.06%,21 ,,
81.75%,21 ,,
81.82%,21 ,,
81.84%,21 ,,
82.81%,21 ,,
82.84%,21 ,,
82.87%,21 ,,
82.89%,21 ,,
82.92%,21 ,,
,22 ,,Beauty and the Beast (2017)
,23 ,,The Fate of the Furious F8 (2017)
,24 ,,Black Panther (2018)
7.13%,25 ,,Avengers 3: Infinity War (2018)
7.20%,25 ,,
7.24%,25 ,,
7.26%,25 ,,
7.30%,25 ,,
8.91%,25 ,,
8.93%,25 ,,
8.96%,25 ,,
8.98%,25 ,,
9.02%,25 ,,
9.06%,25 ,,
9.08%,25 ,,
9.90%,25 ,,
10.01%,25 ,,
12.35%,25 ,,
12.36%,25 ,,
12.38%,25 ,,
13.91%,25 ,,
18.08%,25 ,,
18.09%,25 ,,
18.12%,25 ,,
19.03%,25 ,,
19.42%,25 ,,
20.01%,25 ,,
20.05%,25 ,,
20.35%,25 ,,
21.81%,25 ,,
22.07%,25 ,,
22.57%,25 ,,
31.40%,25 ,,
32.89%,25 ,,
53.62%,25 ,,
54.01%,25 ,,
55.09%,25 ,,
55.72%,25 ,,
55.75%,25 ,,
50.30%,26 ,,Jurassic World: Fallen Kingdom (2018)
50.33%,26 ,,
50.35%,26 ,,
50.38%,26 ,,
50.45%,26 ,,
50.49%,26 ,,
50.52%,26 ,,
50.62%,26 ,,
50.64%,26 ,,
50.67%,26 ,,
50.70%,26 ,,
50.72%,26 ,,
50.76%,26 ,,
50.81%,26 ,,
50.86%,26 ,,
50.88%,26 ,,
50.92%,26 ,,
50.94%,26 ,,
50.99%,26 ,,
51.02%,26 ,,
51.10%,26 ,,
51.11%,26 ,,
51.14%,26 ,,
51.15%,26 ,,
51.19%,26 ,,
51.24%,26 ,,
51.31%,26 ,,
51.36%,26 ,,
67.39%,26 ,,
67.40%,26 ,,
67.45%,26 ,,
67.57%,26 ,,
73.45%,26 ,,
73.46%,26 ,,
73.49%,26 ,,
73.53%,26 ,,
73.55%,26 ,,
73.59%,26 ,,
73.62%,26 ,,
73.66%,26 ,,
73.68%,26 ,,
73.73%,26 ,,
73.76%,26 ,,
73.78%,26 ,,
73.80%,26 ,,
73.85%,26 ,,
